TOWNSHIP_RANGE,YEAR,GSE_GWE
T01N R02E,2014,57.04615384615385
T01N R02E,2015,56.0274358974359
T01N R02E,2016,48.830000000000005
T01N R02E,2017,48.007333333333335
T01N R02E,2018,45.985
T01N R02E,2019,45.7815
T01N R02E,2020,52.196000000000005
T01N R02E,2021,53.193636363636365
T01N R03E,2014,32.91324675324675
T01N R03E,2015,38.45204819277109
T01N R03E,2016,27.669066666666666
T01N R03E,2017,25.798045977011494
T01N R03E,2018,24.053392857142857
T01N R03E,2019,24.283888888888892
T01N R03E,2020,24.418787878787878
T01N R03E,2021,32.67618918918919
T01N R04E,2014,5.0
T01N R04E,2015,19.32181818181818
T01N R04E,2016,15.16
T01N R04E,2017,12.812666666666667
T01N R04E,2018,16.206666666666667
T01N R04E,2019,14.004285714285714
T01N R04E,2020,18.961666666666666
T01N R04E,2021,16.672857142857143
T01N R05E,2014,8.95
T01N R05E,2015,17.543333333333333
T01N R05E,2016,13.709
T01N R05E,2017,12.165714285714285
T01N R05E,2018,14.327692307692306
T01N R05E,2019,15.508666666666667
T01N R05E,2020,20.336153846153845
T01N R05E,2021,19.476363636363637
T01N R06E,2014,20.43
T01N R06E,2015,20.875625
T01N R06E,2016,27.172142857142855
T01N R06E,2017,18.950625
T01N R06E,2018,21.911
T01N R06E,2019,21.33684210526316
T01N R06E,2020,32.38
T01N R06E,2021,33.198
T01N R07E,2014,64.095
T01N R07E,2015,65.47733333333333
T01N R07E,2016,74.3605
T01N R07E,2017,65.06428571428572
T01N R07E,2018,68.65625
T01N R07E,2019,45.15882352941177
T01N R07E,2020,47.864285714285714
T01N R07E,2021,45.614285714285714
T01N R08E,2014,102.440625
T01N R08E,2015,104.8157894736842
T01N R08E,2016,123.62380952380951
T01N R08E,2017,124.76500000000001
T01N R08E,2018,122.7
T01N R08E,2019,111.90526315789472
T01N R08E,2020,112.02307692307691
T01N R08E,2021,128.27692307692308
T01N R09E,2014,139.5
T01N R09E,2015,131.41111111111113
T01N R09E,2016,143.95833333333334
T01N R09E,2017,155.97615384615386
T01N R09E,2018,151.3825
T01N R09E,2019,158.30888888888887
T01N R09E,2020,132.23181818181817
T01N R09E,2021,137.3376923076923
T01N R10E,2014,109.33333333333333
T01N R10E,2015,123.60000000000001
T01N R10E,2016,126.15916666666668
T01N R10E,2017,130.64142857142858
T01N R10E,2018,134.215
T01N R10E,2019,192.01166666666666
T01N R10E,2020,177.375
T01N R10E,2021,179.51999999999998
T01N R11E,2014,82.5
T01N R11E,2015,113.69999999999999
T01N R11E,2016,111.62625
T01N R11E,2017,51.1
T01N R11E,2018,64.09666666666666
